feature,median,mean,variance
Access to electricity (% of population) [EG.ELC.ACCS.ZS],98.441,81.938,688.282
Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],3963.976,9686.504,175185394.802
Age dependency ratio (% of working-age population) [SP.POP.DPND],54.294,59.802,291.426
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]",13.500,23.248,428.504
Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],296.939,965.137,2550193.120
"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",2.354,2.810,1.767
Fixed broadband subscriptions (per 100 people) [IT.NET.BBND.P2],6.191,11.530,167.468
Fixed telephone subscriptions (per 100 people) [IT.MLT.MAIN.P2],10.764,15.418,248.229
GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD],5669.734,13247.663,341198195.539
"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]",5375.000,12383.594,269893231.471
Individuals using the Internet (% of population) [IT.NET.USER.ZS],48.052,48.524,837.244
Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],0.163,0.795,1.826
People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],93.734,86.167,278.259
"People using at least basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]",87.795,79.024,466.609
"People using at least basic drinking water services, urban (% of urban population) [SH.H2O.BASW.UR.ZS]",97.412,93.802,65.914
"People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",89.368,78.405,554.447
Prevalence of anemia among children (% of children under 5) [SH.ANM.CHLD.ZS],31.900,37.425,356.624
Secure Internet servers (per 1 million people) [IT.NET.SECR.P6],119.659,2295.683,31730096.928
"Self-employed, female (% of female employment) (modeled ILO estimate) [SL.EMP.SELF.FE.ZS]",40.411,44.746,986.619
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate) [SL.EMP.WORK.FE.ZS]",59.589,55.254,986.619
